# US crude oil production data (annual, billion barrels / year)
# Source: EIA (Energy Information Administration)
# Units: Gb/year (gigabarrels per year)
#
# Format: year, production_Gb_per_year
1900,0.0637
1901,0.0691
1902,0.0683
1903,0.0768
1904,0.0836
1905,0.0943
1906,0.1020
1907,0.1169
1908,0.1086
1909,0.1188
1910,0.1295
1911,0.1364
1912,0.1500
1913,0.1604
1914,0.1659
1915,0.2011
1916,0.1870
1917,0.2129
1918,0.2261
1919,0.2284
1920,0.4430
1921,0.4723
1922,0.5577
1923,0.7327
1924,0.7138
1925,0.7636
1926,0.7710
1927,0.9010
1928,0.9010
1929,1.0071
1930,0.8981
1931,0.8511
1932,0.7853
1933,0.9059
1934,0.9085
1935,0.9980
1936,1.0990
1937,1.2770
1938,1.2143
1939,1.2642
1940,1.3541
1941,1.4022
1942,1.3841
1943,1.5054
1944,1.6745
1945,1.7136
1946,1.7338
1947,1.8566
1948,2.0203
1949,1.8413
1950,1.9736
1951,2.2474
1952,2.2897
1953,2.3577
1954,2.3140
1955,2.4846
1956,2.6165
1957,2.6166
1958,2.4490
1959,2.5742
1960,2.5752
1961,2.6236
1962,2.6768
1963,2.7529
1964,2.7861
1965,2.8481
1966,3.0277
1967,3.2117
1968,3.3286
1969,3.3715
1970,3.5171
1971,3.4536
1972,3.4556
1973,3.3603
1974,3.2027
1975,3.0567
1976,2.9768
1977,3.0094
1978,3.1782
1979,3.1199
1980,3.1461
1981,3.1284
1982,3.1571
1983,3.1706
1984,3.2496
1985,3.2742
1986,3.1677
1987,3.0474
1988,2.9792
1989,2.7759
1990,2.6846
1991,2.7073
1992,2.6243
1993,2.4997
1994,2.4625
1995,2.3940
1996,2.3662
1997,2.3534
1998,2.2821
1999,2.1466
2000,2.1303
2001,2.1222
2002,2.0974
2003,2.0726
2004,1.9830
2005,1.8900
2006,1.8622
2007,1.8484
2008,1.8109
2009,2.0118
2010,2.1393
2011,2.0783
2012,2.3684
2013,2.7194
2014,3.1664
2015,3.4404
2016,3.2397
2017,3.4072
2018,3.9970
2019,4.4775
2020,4.1290
2021,4.1000
2022,4.4500
2023,4.6900
